ID_Cliente,Nome_Cliente,Segmento,Porte,Data_Contrato,Data_Servico,Tipo_Servico,Valor,Status_Pagamento,Responsavel,NPS,Custo_Operacional,Margem_Lucro
Cliente_15,Clínica Odontológica Sorriso,Educação,Médio,2021-03-05,2023-10-06,Contabilidade Fiscal,2359.43,Atrasado,Fernanda Lima,10,1401.67,40.59
Cliente_32,Serralheria Metal,Serviços,Grande,2021-09-03,2024-03-26,Balanço Patrimonial,14995.91,Atrasado,José Pereira,10,6027.79,59.8
Cliente_65,Fábrica Laticínios,Serviços,Médio,2023-09-08,2024-06-07,Consultoria Contábil,6367.41,Pendente,Roberto Alves,10,2939.03,53.84
Cliente_45,Dedetizadora Controle,Tecnologia,Médio,2023-10-02,2024-09-06,Balanço Patrimonial,4372.06,Pago,Pedro Martins,8,2061.6,52.85
Cliente_30,Escola Idiomas,Educação,Pequeno,2021-08-24,2023-12-13,Folha de Pagamento,763.24,Pago,Juliana Costa,8,342.39,55.14
Cliente_5,Cartório Documentos,Tecnologia,Grande,2023-08-23,2023-12-30,Balanço Patrimonial,8343.33,Pendente,Juliana Costa,7,4311.28,48.33
Cliente_53,Sorveteria Gelada,Serviços,Médio,2023-02-01,2024-12-02,Declaração IR,5342.01,Atrasado,Carlos Oliveira,9,2968.57,44.43
Cliente_69,Fábrica Laticínios,Agronegócio,Pequeno,2020-05-30,2022-07-17,Auditoria,2904.03,Atrasado,José Pereira,9,1740.18,40.08
Cliente_96,Laboratório Análises,Agronegócio,Pequeno,2021-06-05,2021-12-07,Regularização Fiscal,3077.52,Atrasado,Ana Silva,7,965.72,68.62
Cliente_8,Salão Beleza Total,Tecnologia,Médio,2020-07-28,2022-03-20,Auditoria,4937.68,Atrasado,Carlos Oliveira,7,2384.15,51.72
Cliente_49,Churrascaria Fogo,Construção,Grande,2020-04-20,2023-10-11,Imposto de Renda PJ,8933.69,Atrasado,Carlos Oliveira,7,5089.28,43.03
Cliente_60,SPA Relaxamento,Entretenimento,Grande,2020-05-04,2025-05-23,Consultoria Tributária,16427.57,Pago,Roberto Alves,10,8330.32,49.29
Cliente_59,Salão Beleza Total,Tecnologia,Médio,2021-03-21,2022-11-29,Abertura de Empresa,6677.72,Atrasado,Ana Silva,9,2047.27,69.34
Cliente_85,Fábrica Laticínios,Entretenimento,Pequeno,2021-04-29,2023-07-18,Consultoria Tributária,1009.18,Pago,Maria Santos,10,554.9,45.01
Cliente_37,Funerária Paz,Indústria,Pequeno,2023-09-13,2024-05-05,Análise Financeira,2588.75,Pendente,Pedro Martins,8,1264.54,51.15
Cliente_81,Seguradora Proteção,Comércio Varejista,Médio,2023-04-07,2025-01-27,Folha de Pagamento,2781.5,Atrasado,Maria Santos,10,981.01,64.73
Cliente_17,Funerária Paz,Entretenimento,Pequeno,2020-11-30,2025-04-28,Balanço Patrimonial,2251.77,Pendente,Pedro Martins,10,1329.03,40.98
Cliente_38,Corretora Investimentos,Indústria,Médio,2022-12-16,2025-01-18,Consultoria Contábil,3265.48,Pago,Juliana Costa,10,1927.22,40.98
Cliente_72,Seguradora Proteção,Entretenimento,Médio,2023-06-06,2024-06-14,Contabilidade Fiscal,2023.29,Atrasado,Ana Silva,10,1106.18,45.33
Cliente_48,Imobiliária Casa Nova,Financeiro,Médio,2021-12-26,2022-08-04,Imposto de Renda PJ,2940.78,Pago,Juliana Costa,8,1453.61,50.57
Cliente_82,Frutaria Natural,Indústria,Pequeno,2021-09-23,2024-04-30,Escrituração Contábil,934.53,Atrasado,Roberto Alves,7,346.19,62.96
Cliente_69,Fábrica Laticínios,Agronegócio,Pequeno,2020-05-30,2021-03-03,Regularização Fiscal,2185.79,Pendente,José Pereira,8,1236.34,43.44
Cliente_84,Assessoria Contábil,Serviços,Médio,2023-02-20,2023-06-01,Consultoria Contábil,4384.52,Atrasado,Juliana Costa,8,2440.58,44.34
Cliente_13,Pousada Descanso,Tecnologia,Médio,2020-06-12,2024-04-16,Auditoria,9666.04,Atrasado,José Pereira,10,3165.65,67.25
Cliente_28,Borracharia Pneus,Agronegócio,Médio,2022-12-19,2024-10-06,Imposto de Renda PJ,2741.5,Atrasado,Fernanda Lima,7,1504.93,45.11
Cliente_71,Sorveteria Gelada,Educação,Médio,2020-11-19,2022-01-17,Análise Financeira,6854.71,Pago,Pedro Martins,7,2626.6,61.68
Cliente_19,Loja Informática,Educação,Pequeno,2021-04-14,2022-01-05,Balanço Patrimonial,1030.77,Pendente,Ana Silva,8,491.32,52.33
Cliente_3,Empresa Telemarketing,Alimentação,Pequeno,2020-03-02,2021-02-21,Consultoria Tributária,1092.65,Pendente,Carlos Oliveira,7,475.96,56.44
Cliente_29,Corretora Investimentos,Comércio Varejista,Grande,2020-08-22,2024-02-02,Folha de Pagamento,8903.4,Atrasado,Fernanda Lima,10,4934.17,44.58
Cliente_55,Floricultura Jardim,Indústria,Médio,2022-09-21,2024-08-23,Contabilidade Fiscal,4332.61,Atrasado,Pedro Martins,9,2111.26,51.27
Cliente_75,Açougue Carnes Nobres,Saúde,Grande,2021-03-07,2024-04-03,Escrituração Contábil,9189.15,Atrasado,Roberto Alves,7,5107.68,44.42
Cliente_84,Assessoria Contábil,Serviços,Médio,2023-02-20,2025-04-17,Balanço Patrimonial,3251.87,Atrasado,Juliana Costa,10,1687.34,48.11
Cliente_41,Centro Automotivo,Transporte,Médio,2020-09-04,2023-01-26,Auditoria,6774.18,Pendente,José Pereira,7,2909.94,57.04
Cliente_96,Laboratório Análises,Agronegócio,Pequeno,2021-06-05,2023-07-08,Demonstrativo de Resultado,774.12,Atrasado,Ana Silva,10,433.84,43.96
Cliente_93,Construbem,Serviços,Médio,2020-12-31,2021-04-15,Consultoria Tributária,5182.97,Atrasado,Fernanda Lima,7,2099.28,59.5
Cliente_72,Seguradora Proteção,Entretenimento,Médio,2023-06-06,2024-06-16,Contabilidade Fiscal,3979.25,Pago,Ana Silva,7,1920.78,51.73
Cliente_85,Fábrica Laticínios,Entretenimento,Pequeno,2021-04-29,2025-03-19,Consultoria Tributária,1060.64,Atrasado,Maria Santos,8,498.39,53.01
Cliente_52,Oficina Mecânica Rápida,Alimentação,Pequeno,2021-07-24,2021-12-13,Declaração IR,1945.53,Atrasado,Pedro Martins,8,799.64,58.9
Cliente_93,Construbem,Serviços,Médio,2020-12-31,2022-10-26,Demonstrativo de Resultado,3880.46,Atrasado,Fernanda Lima,7,1480.9,61.84
Cliente_85,Fábrica Laticínios,Entretenimento,Pequeno,2021-04-29,2023-09-14,Planejamento Tributário,2686.78,Atrasado,Maria Santos,10,1230.76,54.19
Cliente_40,Associação Comercial,Saúde,Médio,2023-10-07,2023-11-22,Abertura de Empresa,5470.7,Atrasado,Roberto Alves,9,2116.25,61.32
Cliente_16,Companhia Saneamento,Financeiro,Grande,2020-05-26,2020-06-10,Planejamento Tributário,17405.18,Pendente,Maria Santos,9,5597.9,67.84
Cliente_95,Joalheria Brilhante,Alimentação,Grande,2022-11-13,2022-12-26,Regularização Fiscal,23506.72,Pendente,Carlos Oliveira,10,9093.68,61.31
Cliente_52,Oficina Mecânica Rápida,Alimentação,Pequeno,2021-07-24,2021-09-04,Auditoria,1573.09,Atrasado,Pedro Martins,7,586.75,62.7
Cliente_76,Buffet Festas,Financeiro,Grande,2021-06-24,2023-09-22,Balanço Patrimonial,15293.61,Atrasado,Pedro Martins,7,7022.54,54.08
Cliente_25,Papelaria Escolar,Indústria,Grande,2022-10-07,2025-04-21,Demonstrativo de Resultado,15422.57,Atrasado,Carlos Oliveira,8,5429.51,64.8
Cliente_20,Joalheria Brilhante,Alimentação,Médio,2020-05-15,2024-08-18,Demonstrativo de Resultado,2781.31,Pendente,José Pereira,10,1402.73,49.57
Cliente_73,Assessoria Contábil,Transporte,Médio,2023-09-20,2024-08-15,Consultoria Contábil,4395.13,Pendente,Carlos Oliveira,7,1782.59,59.44
Cliente_10,Padaria Delícia,Entretenimento,Médio,2023-01-03,2023-11-16,Planejamento Tributário,3775.14,Pendente,Carlos Oliveira,10,1656.58,56.12
Cliente_71,Sorveteria Gelada,Educação,Médio,2020-11-19,2025-04-28,Escrituração Contábil,3105.82,Atrasado,Pedro Martins,8,1824.1,41.27
Cliente_58,Doceria Gourmet,Entretenimento,Grande,2023-02-12,2023-05-28,Demonstrativo de Resultado,13369.62,Atrasado,Pedro Martins,10,7985.62,40.27
Cliente_68,Assistência Técnica,Educação,Pequeno,2020-01-20,2022-12-25,Análise Financeira,1159.44,Atrasado,Pedro Martins,9,370.76,68.02
Cliente_13,Pousada Descanso,Tecnologia,Médio,2020-06-12,2023-07-29,Imposto de Renda PJ,4216.76,Atrasado,José Pereira,7,2002.21,52.52
Cliente_19,Loja Informática,Educação,Pequeno,2021-04-14,2023-03-31,Consultoria Tributária,3579.55,Pago,Ana Silva,9,1674.07,53.23
Cliente_83,Padaria Delícia,Educação,Pequeno,2023-10-28,2024-09-28,Consultoria Contábil,1140.7,Pago,José Pereira,7,563.29,50.62
Cliente_55,Floricultura Jardim,Indústria,Médio,2022-09-21,2024-02-23,Auditoria,5667.92,Atrasado,Pedro Martins,8,1963.84,65.35
Cliente_38,Corretora Investimentos,Indústria,Médio,2022-12-16,2025-04-28,Demonstrativo de Resultado,5107.92,Atrasado,Juliana Costa,8,2447.58,52.08
Cliente_20,Joalheria Brilhante,Alimentação,Médio,2020-05-15,2021-04-12,Declaração IR,4829.72,Atrasado,José Pereira,8,2853.77,40.91
Cliente_79,Laboratório Farmacêutico,Saúde,Pequeno,2022-06-23,2024-01-27,Demonstrativo de Resultado,1717.06,Atrasado,Juliana Costa,8,704.6,58.96
Cliente_74,Oficina Mecânica Rápida,Saúde,Pequeno,2020-08-07,2023-01-26,Planejamento Tributário,3091.77,Atrasado,Maria Santos,8,1737.27,43.81
Cliente_7,Clínica Odontológica Sorriso,Entretenimento,Médio,2021-11-27,2024-08-07,Consultoria Contábil,7227.24,Atrasado,Fernanda Lima,8,2759.63,61.82
Cliente_66,Depósito Materiais,Tecnologia,Grande,2021-10-05,2022-08-02,Consultoria Contábil,10724.71,Atrasado,José Pereira,7,4492.97,58.11
Cliente_48,Imobiliária Casa Nova,Financeiro,Médio,2021-12-26,2023-04-22,Regularização Fiscal,5769.77,Atrasado,Juliana Costa,8,1969.11,65.87
Cliente_37,Funerária Paz,Indústria,Pequeno,2023-09-13,2025-01-08,Escrituração Contábil,1608.26,Pago,Pedro Martins,7,605.96,62.32
Cliente_20,Joalheria Brilhante,Alimentação,Médio,2020-05-15,2023-06-12,Escrituração Contábil,2788.37,Atrasado,José Pereira,10,889.05,68.12
Cliente_64,Gráfica Colorida,Agronegócio,Pequeno,2023-03-31,2024-12-01,Balanço Patrimonial,633.43,Atrasado,Ana Silva,8,298.47,52.88
Cliente_24,SPA Relaxamento,Alimentação,Grande,2022-03-28,2022-09-19,Balanço Patrimonial,13358.32,Pago,Roberto Alves,7,5572.24,58.29
Cliente_61,Loja Fashion,Comércio Varejista,Grande,2022-09-03,2022-10-17,Imposto de Renda PJ,16963.33,Atrasado,Maria Santos,7,9015.17,46.85
Cliente_95,Joalheria Brilhante,Alimentação,Grande,2022-11-13,2024-12-26,Auditoria,17249.91,Atrasado,Carlos Oliveira,10,8444.19,51.05
Cliente_18,Borracharia Pneus,Saúde,Grande,2023-11-10,2024-01-13,Escrituração Contábil,6489.45,Atrasado,José Pereira,9,2950.2,54.54
Cliente_70,Serralheria Metal,Saúde,Pequeno,2021-12-15,2024-08-10,Consultoria Tributária,1071.22,Atrasado,Carlos Oliveira,9,361.37,66.27
Cliente_48,Imobiliária Casa Nova,Financeiro,Médio,2021-12-26,2024-06-07,Regularização Fiscal,8717.07,Atrasado,Juliana Costa,9,4710.22,45.97
Cliente_94,Auto Peças Silva,Serviços,Grande,2022-06-08,2024-10-24,Contabilidade Fiscal,6523.9,Atrasado,Roberto Alves,9,2557.03,60.81
Cliente_78,Autoescola Direção,Comércio Varejista,Pequeno,2021-11-14,2024-04-04,Declaração IR,1977.87,Pendente,Maria Santos,9,972.8,50.82
Cliente_8,Salão Beleza Total,Tecnologia,Médio,2020-07-28,2020-12-28,Imposto de Renda PJ,4481.13,Pago,Carlos Oliveira,8,2485.24,44.54
Cliente_87,Churrascaria Fogo,Financeiro,Grande,2021-05-23,2023-11-06,Folha de Pagamento,8908.73,Pago,Fernanda Lima,7,4289.81,51.85
Cliente_87,Churrascaria Fogo,Financeiro,Grande,2021-05-23,2023-11-30,Auditoria,21604.99,Atrasado,Fernanda Lima,8,12707.1,41.18
Cliente_4,Lavanderia Express,Tecnologia,Grande,2023-05-17,2023-11-23,Planejamento Tributário,12382.94,Atrasado,Ana Silva,9,6292.94,49.18
Cliente_63,Frigorífico Carnes,Serviços,Grande,2021-04-26,2022-06-09,Contabilidade Fiscal,7013.61,Pago,Juliana Costa,9,3509.27,49.96
Cliente_91,Café Expresso,Educação,Médio,2020-05-22,2020-10-01,Balanço Patrimonial,6333.59,Pago,Fernanda Lima,8,3408.16,46.19
Cliente_66,Depósito Materiais,Tecnologia,Grande,2021-10-05,2023-01-07,Contabilidade Fiscal,7358.55,Atrasado,José Pereira,10,3981.7,45.89
Cliente_71,Sorveteria Gelada,Educação,Médio,2020-11-19,2021-08-11,Análise Financeira,3668.12,Atrasado,Pedro Martins,10,2006.47,45.3
Cliente_10,Padaria Delícia,Entretenimento,Médio,2023-01-03,2023-05-11,Auditoria,6491.5,Pendente,Carlos Oliveira,8,3442.67,46.97
Cliente_17,Funerária Paz,Entretenimento,Pequeno,2020-11-30,2023-05-05,Balanço Patrimonial,2257.54,Atrasado,Pedro Martins,8,911.61,59.62
Cliente_67,Depósito Materiais,Alimentação,Pequeno,2023-10-07,2024-07-23,Consultoria Contábil,885.6,Atrasado,Fernanda Lima,7,399.2,54.92
Cliente_22,Agropecuária Rural,Financeiro,Médio,2020-10-19,2024-02-13,Análise Financeira,6495.69,Atrasado,Fernanda Lima,7,2106.99,67.56
Cliente_83,Padaria Delícia,Educação,Pequeno,2023-10-28,2024-07-25,Imposto de Renda PJ,1035.35,Atrasado,José Pereira,9,460.61,55.51
Cliente_88,Clínica Odontológica Sorriso,Entretenimento,Pequeno,2022-02-22,2024-06-02,Consultoria Tributária,2088.72,Atrasado,Ana Silva,8,822.49,60.62
Cliente_92,Confeitaria Doces,Financeiro,Grande,2022-03-29,2024-01-11,Escrituração Contábil,8510.12,Atrasado,Roberto Alves,8,3743.96,56.01
Cliente_35,Ateliê Costura,Saúde,Pequeno,2020-04-28,2022-11-04,Abertura de Empresa,1144.69,Pendente,José Pereira,8,622.76,45.6
Cliente_74,Oficina Mecânica Rápida,Saúde,Pequeno,2020-08-07,2024-08-22,Auditoria,1559.09,Atrasado,Maria Santos,7,909.84,41.64
Cliente_65,Fábrica Laticínios,Serviços,Médio,2023-09-08,2024-12-19,Abertura de Empresa,4583.34,Atrasado,Roberto Alves,10,1767.91,61.43
Cliente_2,Papelaria Escolar,Indústria,Grande,2020-07-28,2025-04-28,Contabilidade Fiscal,12922.85,Atrasado,Carlos Oliveira,8,5282.31,59.12
Cliente_37,Funerária Paz,Indústria,Pequeno,2023-09-13,2023-11-27,Regularização Fiscal,2344.78,Atrasado,Pedro Martins,7,980.52,58.18
Cliente_44,Ótica Visual,Serviços,Pequeno,2021-11-07,2024-12-23,Auditoria,3264.95,Atrasado,Carlos Oliveira,9,1766.96,45.88
Cliente_67,Depósito Materiais,Alimentação,Pequeno,2023-10-07,2025-01-16,Declaração IR,1729.51,Pendente,Fernanda Lima,9,826.91,52.19
Cliente_65,Fábrica Laticínios,Serviços,Médio,2023-09-08,2025-02-10,Balanço Patrimonial,4331.82,Atrasado,Roberto Alves,10,2058.09,52.49
Cliente_93,Construbem,Serviços,Médio,2020-12-31,2024-11-09,Imposto de Renda PJ,5064.49,Atrasado,Fernanda Lima,7,2405.92,52.49
Cliente_22,Agropecuária Rural,Financeiro,Médio,2020-10-19,2023-09-27,Imposto de Renda PJ,6442.77,Atrasado,Fernanda Lima,7,2301.58,64.28
Cliente_57,TechSolutions Ltda,Alimentação,Médio,2022-07-20,2024-04-22,Regularização Fiscal,7302.2,Pago,Fernanda Lima,7,3736.77,48.83
Cliente_67,Depósito Materiais,Alimentação,Pequeno,2023-10-07,2024-05-06,Balanço Patrimonial,1236.02,Pendente,Fernanda Lima,9,573.37,53.61
Cliente_87,Churrascaria Fogo,Financeiro,Grande,2021-05-23,2025-03-17,Imposto de Renda PJ,15038.81,Atrasado,Fernanda Lima,9,7990.91,46.86
Cliente_91,Café Expresso,Educação,Médio,2020-05-22,2021-07-20,Escrituração Contábil,2886.39,Atrasado,Fernanda Lima,7,1362.5,52.8
Cliente_70,Serralheria Metal,Saúde,Pequeno,2021-12-15,2024-01-31,Regularização Fiscal,2813.78,Pendente,Carlos Oliveira,9,1624.12,42.28
Cliente_84,Assessoria Contábil,Serviços,Médio,2023-02-20,2023-11-09,Escrituração Contábil,2548.72,Atrasado,Juliana Costa,8,950.0,62.73
Cliente_86,Hotel Conforto,Alimentação,Pequeno,2021-01-02,2023-12-25,Abertura de Empresa,2280.38,Pendente,Roberto Alves,7,1343.95,41.06
Cliente_21,Transportadora Entregas,Entretenimento,Médio,2021-03-11,2023-06-22,Imposto de Renda PJ,6099.22,Pago,Pedro Martins,9,2352.01,61.44
Cliente_8,Salão Beleza Total,Tecnologia,Médio,2020-07-28,2024-11-18,Contabilidade Fiscal,2885.61,Pendente,Carlos Oliveira,10,1629.43,43.53
Cliente_23,Oficina Mecânica Rápida,Tecnologia,Grande,2023-02-23,2023-04-01,Consultoria Contábil,23540.84,Pago,Fernanda Lima,7,7127.7,69.72
Cliente_73,Assessoria Contábil,Transporte,Médio,2023-09-20,2025-05-29,Contabilidade Fiscal,3090.06,Pago,Carlos Oliveira,8,1715.97,44.47
Cliente_60,SPA Relaxamento,Entretenimento,Grande,2020-05-04,2021-11-13,Abertura de Empresa,19014.46,Atrasado,Roberto Alves,9,10215.14,46.28
Cliente_73,Assessoria Contábil,Transporte,Médio,2023-09-20,2024-04-04,Declaração IR,4631.46,Atrasado,Carlos Oliveira,7,1646.18,64.46
Cliente_18,Borracharia Pneus,Saúde,Grande,2023-11-10,2025-03-12,Auditoria,17483.24,Atrasado,José Pereira,7,6616.81,62.15
Cliente_47,Sorveteria Gelada,Construção,Médio,2021-01-24,2024-12-12,Abertura de Empresa,3465.2,Pendente,Carlos Oliveira,9,1757.16,49.29
Cliente_82,Frutaria Natural,Indústria,Pequeno,2021-09-23,2023-05-20,Auditoria,2646.62,Atrasado,Roberto Alves,10,1351.32,48.94
Cliente_61,Loja Fashion,Comércio Varejista,Grande,2022-09-03,2024-10-17,Balanço Patrimonial,16995.85,Pendente,Maria Santos,10,7791.78,54.15
Cliente_47,Sorveteria Gelada,Construção,Médio,2021-01-24,2021-07-02,Análise Financeira,6750.52,Atrasado,Carlos Oliveira,10,2260.56,66.51
Cliente_27,Loja Informática,Alimentação,Grande,2020-05-10,2024-05-17,Análise Financeira,13783.28,Atrasado,Juliana Costa,7,6445.6,53.24
Cliente_87,Churrascaria Fogo,Financeiro,Grande,2021-05-23,2023-02-13,Escrituração Contábil,4271.72,Atrasado,Fernanda Lima,7,1975.03,53.76
Cliente_8,Salão Beleza Total,Tecnologia,Médio,2020-07-28,2020-12-16,Planejamento Tributário,6456.48,Pago,Carlos Oliveira,10,2662.25,58.77
Cliente_49,Churrascaria Fogo,Construção,Grande,2020-04-20,2022-10-25,Consultoria Contábil,9511.71,Atrasado,Carlos Oliveira,9,3192.03,66.44
Cliente_69,Fábrica Laticínios,Agronegócio,Pequeno,2020-05-30,2022-08-12,Balanço Patrimonial,944.35,Pago,José Pereira,10,474.11,49.8
Cliente_70,Serralheria Metal,Saúde,Pequeno,2021-12-15,2024-05-01,Balanço Patrimonial,1293.74,Pendente,Carlos Oliveira,7,400.63,69.03
Cliente_85,Fábrica Laticínios,Entretenimento,Pequeno,2021-04-29,2023-09-04,Análise Financeira,2483.43,Atrasado,Maria Santos,7,927.36,62.66
Cliente_6,Papelaria Escolar,Construção,Grande,2021-07-23,2023-10-24,Planejamento Tributário,23612.29,Atrasado,Ana Silva,9,11174.34,52.68
Cliente_99,Fábrica Laticínios,Educação,Grande,2020-09-12,2024-06-20,Consultoria Contábil,9958.08,Atrasado,Fernanda Lima,7,4650.58,53.3
Cliente_76,Buffet Festas,Financeiro,Grande,2021-06-24,2022-06-17,Imposto de Renda PJ,7418.13,Atrasado,Pedro Martins,9,3775.03,49.11
Cliente_53,Sorveteria Gelada,Serviços,Médio,2023-02-01,2023-07-03,Consultoria Tributária,8210.0,Pendente,Carlos Oliveira,10,4716.01,42.56
Cliente_72,Seguradora Proteção,Entretenimento,Médio,2023-06-06,2024-08-01,Regularização Fiscal,3841.57,Pendente,Ana Silva,9,1259.03,67.23
Cliente_93,Construbem,Serviços,Médio,2020-12-31,2022-01-25,Folha de Pagamento,3457.19,Pendente,Fernanda Lima,8,1534.36,55.62
